camera_id,Point,Location1,Location2,Camera Angle,SnapshotUrl
5deb576d1dc17d7c5515ad19,POINT(106.699659 10.784426),,Nguyễn Thị Minh Khai - Mạc Đĩnh Chi,,http://camera.thongtingiaothong.vn/api/snapshot/5deb576d1dc17d7c5515ad19
589add0fb3bf7600110283ae,POINT(106.623339056969 10.8556133114939),Quận 12,Tô Ký (Tỉnh lộ 15) - Đông Bắc,120,http://camera.thongtingiaothong.vn/api/snapshot/589add0fb3bf7600110283ae
5deb576d1dc17d7c5515ad01,POINT(106.691815853119 10.7878590168447),,Võ Thị Sáu - Hai Bà Trưng,,http://camera.thongtingiaothong.vn/api/snapshot/5deb576d1dc17d7c5515ad01
58abbf72bd82540010390ba4,POINT(106.726319789886 10.7985614089434),,Cầu Sài Gòn 9 (Bình Thạnh - Thủ Đức),75,http://camera.thongtingiaothong.vn/api/snapshot/58abbf72bd82540010390ba4
6623f1f16f998a001b25281f,POINT(106.759042739868 10.865064709737),,Phạm Văn Đồng - Đào Trinh Nhất,,http://camera.thongtingiaothong.vn/api/snapshot/6623f1f16f998a001b25281f
58ad6961bd82540010390be5,POINT(106.680378913879 10.7990461956223),Quận Phú Nhuận,Nút giao Phú Nhuận 1 (Phan Đình Phùng),60,http://camera.thongtingiaothong.vn/api/snapshot/58ad6961bd82540010390be5
5a8257e25058170011f6eacd,POINT(106.814097762108 10.8700853140978),,Hoàng Hữu Nam - Đường D400,300,http://camera.thongtingiaothong.vn/api/snapshot/5a8257e25058170011f6eacd
5a606dbc8576340017d0662b,POINT(106.721127033234 10.7978184191454),,Điện Biên Phủ - Nguyễn Hữu Cảnh,195,http://camera.thongtingiaothong.vn/api/snapshot/5a606dbc8576340017d0662b
662b52a31afb9c00172d8b01,POINT(106.670604944229 10.846467192202),,Lê Đức Thọ - Hẻm 688,,http://camera.thongtingiaothong.vn/api/snapshot/662b52a31afb9c00172d8b01
662a8ef41afb9c00172d2af2,POINT(106.704325675964 10.7449876687987),,Lê Văn Lương - Đường số 15,,http://camera.thongtingiaothong.vn/api/snapshot/662a8ef41afb9c00172d2af2
